new_text,new_label
"['عايزة', 'احط', 'عنوان']","['show', 'add', 'address']"
['الفاتورة'],['invoice']
"['عايزة', 'اغير', 'عنوان', 'البيت']","['show', 'change', 'address', 'address']"
"['اغير', 'عنواني']","['change', 'address']"
['منيو'],['Menu']
"['شوف', 'البيتزا']","['show', 'ItemName']"
"['تابعلي', 'الاوردر']","['show', 'order']"
"['احذف', 'العنوان']","['delete', 'address']"
"['احدد', 'اللغة', 'الاسبانية']","['add', 'Language', 'Language']"
"['احذف', 'عنواني']","['delete', 'address']"
"['غير', 'رقم', 'الجوال']","['change', 'phone_number', 'phone_number']"
"['اعدل', 'عنواني']","['edit', 'address']"
"['احدث', 'البيانات']","['update_data', 'update_data']"
"['وريني', 'المنيو']","['show', 'Menu']"
"['اشوف', 'اوردراتي', 'قبل']","['show', 'order', 'previous']"
"['تعرضلي', 'قائمة', 'الطعام']","['show', 'Menu', 'Menu']"
"['عطيني', 'الكارت']","['show', 'card']"
"['3', 'مع', 'سلطة', 'تشيكن', 'سيزر']","['item_number', 'add', 'ItemName', 'ItemName', 'ItemName']"
"['رقم', '5']","['phone_number', 'item_number']"
['الفاتورة'],['invoice']
"['الحجم', 'الكبير']","['itemSize', 'itemSize']"
"['واحد', 'كفته', 'كبير', 'بدون', 'طحينه']","['item_number', 'Exclude', 'itemSize', 'Exclude', 'ingredients']"
"['اعرضلي', 'الطلبات']","['show', 'order']"
"['الغاء', 'العنوان']","['cancel', 'address']"
['ايه'],['late']
"['اغير', 'اللغة']","['change', 'Language']"
"['الغي', 'عنواني']","['cancel', 'address']"
"['اوردر', 'بيتزا', 'سوبر', 'سوبريم', 'ستافد', 'كراست', 'غير', 'بصل']","['order', 'ItemName', 'ItemName', 'ItemName', 'ItemName', 'ItemName', 'change', 'Exclude']"
"['اشوف', 'حسابى', 'كام', 'دلوقتى']","['show', 'invoice', 'invoice', 'late']"
"['غير', 'رقم', 'الجوال']","['change', 'phone_number', 'phone_number']"
"['الاوردر', 'مجاش', 'لحد', 'دلوقتي']","['order', 'late', 'late', 'late']"
"['تبديل', 'لغة']","['edit', 'Language']"
"['احذف', 'العنوان']","['delete', 'address']"
"['تضيفلي', 'الهابي', 'ميل']","['add', 'ItemName', 'ItemName']"
"['الله', 'يسلم']","['Gbu', 'Gbu']"
"['عايزة', 'اشوف', 'طلباتي', 'السابقة']","['show', 'show', 'order', 'previous']"
"['منيو', 'الاطباق', 'سبكترا']","['Menu', 'Menu', 'location']"
"['عايزة', 'قائمة', 'تغيير', 'البيانات']","['show', 'Menu', 'change', 'update_data']"
"['اتنين', 'جلابينو', 'ساندوتش', 'كبير']","['item_number', 'ItemName', 'ItemName', 'itemSize']"
"['عايزة', 'اغير', 'لغة', 'الانجليزية']","['show', 'change', 'Language', 'Language']"
"['الغي', 'عنواني']","['cancel', 'address']"
"['فرجيكن', 'العنوان']","['show', 'address']"
"['عايزة', 'اعرف', 'الاوردر', 'فاضله', 'اد', 'ايه']","['show', 'show', 'order', 'late', 'late', 'late']"
"['تغيرلي', 'رقم', 'الموبايل']","['change', 'phone_number', 'phone_number']"
"['عايزة', 'امسح', 'عنوان', 'البيت']","['show', 'delete', 'address', 'address']"
"['امسح', 'العنوان']","['delete', 'address']"
"['اضيف', 'عنوان']","['add', 'address']"
"['ايه', 'الاوردر', 'موصلش', 'لحد', 'دلوقتى']","['late', 'order', 'late', 'late', 'late']"
"['اطلبها', 'صغيرة']","['Menu', 'itemSize']"
"['غير', 'اللغة']","['change', 'Language']"
['اعرف'],['show']
['مع'],['add']
['بلو'],['ItemName']
['غير'],['change']
"['اشوف', 'الاوردر']","['show', 'order']"
['الطلبات'],['order']
"['تغير', 'رقم', 'موبايلي', '01552687474']","['change', 'phone_number', 'phone_number', 'phone_number']"
"['عايزة', 'الاوردرات', 'القديمة']","['show', 'order', 'previous']"
"['غير', 'لغة']","['change', 'Language']"
"['قديش', 'وقت']","['show', 'late']"
['اشوف'],['show']
"['تفرجيني', 'القائمة']","['show', 'Menu']"
['هضيف'],['order']
"['الاوردرات', 'طلبتها', 'قبل']","['order', 'order', 'previous']"
"['عايزة', '3', 'بيتزا']","['show', 'item_number', 'ItemName']"
['عايزة'],['show']
"['وريني', 'الاوردر']","['show', 'order']"
"['شيل', 'العنوان']","['edit', 'address']"
"['هاخد', '2', 'كوردن', 'بلو']","['show', 'item_number', 'ItemName', 'ItemName']"
['الاوردر'],['order']
"['الاوردر', 'لحد']","['order', 'late']"
['كبيرة'],['itemSize']
"['تغيرلي', 'اللغة']","['change', 'Language']"
"['تطلعنى', 'الاوردر', 'رقم', '8896', 'ماوصل', 'للحين']","['show', 'order', 'phone_number', 'number', 'late', 'late']"
"['تفرجيني', 'قائمة', 'الطعام']","['show', 'Menu', 'Menu']"
"['تبعتلي', 'قائمة', 'السندوتشات']","['show', 'Menu', 'ItemName']"
"['بطا', 'الاوردر']","['late', 'order']"
"['القاء', 'نظره', 'الاشياء', 'طلبتها']","['show', 'show', 'order', 'order']"
"['اروح', 'القائمة']","['show', 'Menu']"
"['حدثلى', 'رقم', 'هاتفى', 'للرقم', '015248575']","['update_data', 'phone_number', 'phone_number', 'phone_number', 'phone_number']"
"['حذف', 'للرقم', '45454444', 'هضيف', 'رقم']","['delete', 'phone_number', 'number', 'order', 'phone_number']"
"['عايزة', 'اعرف', 'اسجل', 'بياناتي']","['show', 'show', 'update_data', 'update_data']"
"['القائمة', 'السابقة']","['Menu', 'previous']"
"['اغير', 'عنواني']","['change', 'address']"
['الفاتورة'],['invoice']
['طلبتها'],['order']
['اللغة'],['Language']
['الغي'],['cancel']
['اوردر'],['order']
['عايزة'],['show']
['3'],['item_number']
['تبعتلي'],['show']
"['عايزة', 'اغير', 'لغة']","['show', 'change', 'Language']"
['المنيو'],['Menu']
"['عايزة', 'اشوف', 'الطلبات', 'السابقة']","['show', 'show', 'order', 'previous']"
['مع'],['add']
['تعرضلي'],['show']
"['اضيف', 'رقم']","['add', 'phone_number']"
"['قديش', 'وقت']","['show', 'late']"
['مع'],['add']
['اغير'],['change']
"['قائمة', 'الطعام']","['Menu', 'Menu']"
"['تغيير', 'عنوان', 'البيت']","['change', 'address', 'address']"
['اعرف'],['show']
"['اسجل', 'عنوان', 'البيت']","['update_data', 'address', 'address']"
"['الطلبات', 'طلبتها']","['order', 'order']"
['القائمة'],['Menu']
['الفاتورة'],['invoice']
['عنواني'],['address']
"['تفرجيني', 'قائمة', 'الطلبات', 'السابقة']","['show', 'Menu', 'order', 'previous']"
['مع'],['add']
"['رقم', 'للرقم']","['phone_number', 'phone_number']"
['صغيرة'],['itemSize']
"['شوف', 'الطلبات', 'السابقة']","['show', 'order', 'previous']"
['كام'],['invoice']
"['شوف', 'ايه']","['show', 'late']"
['القائمة'],['Menu']
['ساندوتش'],['ItemName']
['ساندوتش'],['ItemName']
['كبير'],['itemSize']
"['2', 'بيتزا', 'كبيرة', 'بدون']","['item_number', 'ItemName', 'itemSize', 'Exclude']"
"['اشوف', 'الاوردر']","['show', 'order']"
['العنوان'],['address']
['ساندوتش'],['ItemName']
['العنوان'],['address']
"['تغيير', 'البيانات']","['change', 'update_data']"
"['اعرف', 'الاوردر', 'ايه']","['show', 'order', 'late']"
['الحجم'],['itemSize']
['عنواني'],['address']
['3'],['item_number']
['ايه'],['late']
"['عطيني', 'قائمة', 'الاوردر']","['show', 'Menu', 'order']"
"['اشوف', 'منيو']","['show', 'Menu']"
"['عايزة', 'اشوف', 'الطلبات']","['show', 'show', 'order']"
['اللغة'],['Language']
"['تفرجيني', 'القائمة']","['show', 'Menu']"
"['5', 'كبير']","['item_number', 'itemSize']"
['بدون'],['Exclude']
"['شوف', 'المنيو']","['show', 'Menu']"
['اضيف'],['add']
['رقم'],['phone_number']
"['عايزة', 'اغير']","['show', 'change']"
"['عطيني', 'قائمة', 'الطلبات', 'طلبتها']","['show', 'Menu', 'order', 'order']"
"['الغي', 'عنواني']","['cancel', 'address']"
"['امسح', 'العنوان']","['delete', 'address']"
"['تشيكن', 'كبير']","['ItemName', 'itemSize']"
"['سلطة', 'كبير', 'بصل']","['ItemName', 'itemSize', 'Exclude']"
['الانجليزية'],['Language']
"['احذف', 'العنوان']","['delete', 'address']"
['الاوردر'],['order']
['الاوردر'],['order']
"['عايزة', 'اعدل', 'عنوان']","['show', 'edit', 'address']"
['مع'],['add']
['احذف'],['delete']
"['اعرف', 'اسجل', 'بياناتي']","['show', 'update_data', 'update_data']"
['منيو'],['Menu']
['الفاتورة'],['invoice']
['ايه'],['late']
"['شوف', 'الطلبات']","['show', 'order']"
['ايه'],['late']
['العنوان'],['address']
['اللغة'],['Language']
['الغي'],['cancel']
"['تفرجيني', 'المنيو']","['show', 'Menu']"
['عايزة'],['show']
"['الاوردر', 'دلوقتي']","['order', 'late']"
"['اغير', 'عنوان']","['change', 'address']"
"['اغير', 'العنوان']","['change', 'address']"
['اغير'],['change']
['ايه'],['late']
['3'],['item_number']
"['الهابي', 'ميل']","['ItemName', 'ItemName']"
"['شوف', 'منيو']","['show', 'Menu']"
['الطلبات'],['order']
"['رقم', 'الموبايل']","['phone_number', 'phone_number']"
"['اشوف', 'منيو']","['show', 'Menu']"
['الغي'],['cancel']
"['شوف', 'الكارت']","['show', 'card']"
['3'],['item_number']
"['كوردن', 'بلو']","['ItemName', 'ItemName']"
"['تغيرلي', 'اللغة']","['change', 'Language']"
"['اغير', 'رقم']","['change', 'phone_number']"
"['عايزة', 'اضيف', 'عنوان']","['show', 'add', 'address']"
"['احدد', 'عنوان', 'البيت']","['add', 'address', 'address']"
"['غير', 'رقم', 'الموبايل']","['change', 'phone_number', 'phone_number']"
"['الاوردر', 'دلوقتي']","['order', 'late']"
"['الاوردرات', 'القديمة']","['order', 'previous']"
['منيو'],['Menu']
"['احذف', 'رقم', 'الموبايل']","['delete', 'phone_number', 'phone_number']"
['القائمة'],['Menu']
"['اغير', 'رقم']","['change', 'phone_number']"
['العنوان'],['address']
['اضيف'],['add']
"['3', 'بيتزا']","['item_number', 'ItemName']"
['الحجم'],['itemSize']
"['احذف', 'العنوان']","['delete', 'address']"
"['اشوف', 'منيو', 'بيتزا']","['show', 'Menu', 'ItemName']"
"['الهابي', 'ميل']","['ItemName', 'ItemName']"
['طلباتي'],['order']
['الغي'],['cancel']
"['اروح', 'القائمة']","['show', 'Menu']"
['الفاتورة'],['invoice']
"['قائمة', 'تغيير', 'البيانات']","['Menu', 'change', 'update_data']"
"['تغيير', 'الجوال']","['change', 'phone_number']"
['المنيو'],['Menu']
"['الاوردر', '3', 'بيتزا', 'مع', 'كبير']","['order', 'item_number', 'ItemName', 'add', 'itemSize']"
"['2', 'ساندوتش', 'كبير', 'مع']","['item_number', 'ItemName', 'itemSize', 'add']"
['3'],['item_number']
"['تبعتلي', 'منيو']","['show', 'Menu']"
['الاوردر'],['order']
['العنوان'],['address']
"['اغير', 'لغة', 'الانجليزية']","['change', 'Language', 'Language']"
['الاوردر'],['order']
"['عايزة', 'عنوان']","['show', 'address']"
"['الاوردر', 'لحد']","['order', 'late']"
['عايزة'],['show']
['المنيو'],['Menu']
"['عايزة', 'الحجم', 'الكبير']","['show', 'itemSize', 'itemSize']"
"['اشوف', 'منيو']","['show', 'Menu']"
"['غير', 'اللغة']","['change', 'Language']"
['الطلبات'],['order']
"['شوف', 'منيو']","['show', 'Menu']"
['وقت'],['late']
['ايه'],['late']
['قبل'],['previous']
"['رقم', 'هاتفى', 'للرقم']","['phone_number', 'phone_number', 'phone_number']"
['تبعتلي'],['show']
['المنيو'],['Menu']
['قبل'],['previous']
['الغي'],['cancel']
['الانجليزية'],['Language']
"['اضيف', 'عنواني']","['add', 'address']"
['منيو'],['Menu']
['الاوردر'],['order']
"['رقم', 'الموبايل']","['phone_number', 'phone_number']"
['رقم'],['phone_number']
"['الاوردرات', 'طلبتها', 'قبل']","['order', 'order', 'previous']"
['الطلبات'],['order']
"['اعرف', 'الاوردر', 'رقم', 'موصلش']","['show', 'order', 'phone_number', 'late']"
"['الاوردرات', 'السابقة']","['order', 'previous']"
"['شوف', 'منيو']","['show', 'Menu']"
"['اشوف', 'الاوردر']","['show', 'order']"
"['الفاتورة', 'كام']","['invoice', 'invoice']"
"['عايزة', 'عنوان', 'البيت']","['show', 'address', 'address']"
['القائمة'],['Menu']
['كبيرة'],['itemSize']
"['عايزة', 'اشوف', 'الطلبات']","['show', 'show', 'order']"
['العنوان'],['address']
"['وريني', 'الاوردرات', 'طلبتها', 'قبل']","['show', 'order', 'order', 'previous']"
"['3', 'بيتزا']","['item_number', 'ItemName']"
['مع'],['add']
['لحد'],['late']
['رقم'],['phone_number']
"['شوف', 'منيو']","['show', 'Menu']"
"['الاوردر', '2', 'ساندوتش']","['order', 'item_number', 'ItemName']"
['الطلبات'],['order']
"['عايزة', 'اشوف', 'الطلبات']","['show', 'show', 'order']"
"['شوف', 'قائمة', 'السندوتشات']","['show', 'Menu', 'ItemName']"
"['غير', 'بصل']","['change', 'Exclude']"
['3'],['item_number']
"['تغيير', 'البيانات']","['change', 'update_data']"
"['اشوف', 'منيو']","['show', 'Menu']"
['العنوان'],['address']
"['اشوف', 'الاوردر']","['show', 'order']"
"['شوف', 'الاوردرات', 'السابقة']","['show', 'order', 'previous']"
"['اضيف', 'عنواني']","['add', 'address']"
"['اعدل', 'العنوان']","['edit', 'address']"
"['وريني', 'الاوردرات', 'السابقة']","['show', 'order', 'previous']"
"['تفرجيني', 'القائمة']","['show', 'Menu']"
"['اشوف', 'الاشياء', 'طلبتها']","['show', 'order', 'order']"
['اعرف'],['show']
"['عايزة', '3', 'بيتزا']","['show', 'item_number', 'ItemName']"
['غير'],['change']
['امسح'],['delete']
['عايزة'],['show']
"['اغير', 'لغة']","['change', 'Language']"
['عايزة'],['show']
"['شيل', 'العنوان']","['edit', 'address']"
"['الاوردر', 'رقم', 'موصلش', 'ايه']","['order', 'phone_number', 'late', 'late']"
['الاوردر'],['order']
['مع'],['add']
"['عنوان', 'البيت']","['address', 'address']"
"['شوف', 'الطلبات', 'السابقة', 'قبل']","['show', 'order', 'previous', 'previous']"
['مع'],['add']
['ايه'],['late']
['الاوردر'],['order']
['كبير'],['itemSize']
"['غير', 'العنوان']","['change', 'address']"
['عنواني'],['address']
['2'],['item_number']
"['عنوان', 'البيت']","['address', 'address']"
['اوردر'],['order']
"['تفرجيني', 'الطلبات']","['show', 'order']"
['الاوردر'],['order']
"['عطيني', '2', 'ساندوتش', 'مع']","['show', 'item_number', 'ItemName', 'add']"
['العنوان'],['address']
['مع'],['add']
"['اغير', 'عنوان', 'البيت']","['change', 'address', 'address']"
['2'],['item_number']
['القديمة'],['previous']
['ايه'],['late']
"['تغيير', 'البيانات']","['change', 'update_data']"
['ساندوتش'],['ItemName']
['الاوردر'],['order']
['الاوردر'],['order']
['ساندوتش'],['ItemName']
['مع'],['add']
['وقت'],['late']
['الاوردر'],['order']
"['اشوف', 'قبل']","['show', 'previous']"
"['اشوف', 'منيو', 'البيتزا']","['show', 'Menu', 'ItemName']"
"['الاوردر', 'موصلش']","['order', 'late']"
['بيتزا'],['ItemName']
['الاوردر'],['order']
"['تفرجيني', 'الكارت']","['show', 'card']"
['شوف'],['show']
['اغير'],['change']
['مع'],['add']
['الطلبات'],['order']
"['اضيف', 'عنوان']","['add', 'address']"
['3'],['item_number']
"['الحجم', 'الكبير']","['itemSize', 'itemSize']"
"['اشوف', 'الطلبات']","['show', 'order']"
['مع'],['add']
['نظره'],['show']
['رقم'],['phone_number']
"['عايزة', 'اعرف', 'كام']","['show', 'show', 'invoice']"
"['تعرضلي', 'منيو']","['show', 'Menu']"
"['اسجل', 'عنوان']","['update_data', 'address']"
['عنواني'],['address']
['مع'],['add']
['2'],['item_number']
"['الغي', 'العنوان']","['cancel', 'address']"
['غير'],['change']
['كبير'],['itemSize']
['عايزة'],['show']
['عايزة'],['show']
['واحد'],['item_number']
"['تعرضلي', 'الاوردر']","['show', 'order']"
