,new_text,new_label
0,عايزة احط عنوان,show add address
1,الفاتورة,invoice
2,عايزة اغير عنوان البيت,show change address address
3,اغير عنواني,change address
4,منيو,Menu
5,شوف البيتزا,show ItemName
6,تابعلي الاوردر,show order
7,احذف العنوان,delete address
8,احدد اللغة الاسبانية,add Language Language
9,احذف عنواني,delete address
10,غير رقم الجوال,change phone_number phone_number
11,اعدل عنواني,edit address
12,احدث البيانات,update_data update_data
13,وريني المنيو,show Menu
14,اشوف اوردراتي قبل,show order previous
15,تعرضلي قائمة الطعام,show Menu Menu
16,عطيني الكارت,show card
17,3 مع سلطة تشيكن سيزر,item_number add ItemName ItemName ItemName
18,رقم 5,phone_number item_number
19,الفاتورة,invoice
20,الحجم الكبير,itemSize itemSize
21,واحد كفته كبير بدون طحينه,item_number Exclude itemSize Exclude ingredients
22,اعرضلي الطلبات,show order
23,الغاء العنوان,cancel address
24,ايه,late
25,اغير اللغة,change Language
26,الغي عنواني,cancel address
27,اوردر بيتزا سوبر سوبريم ستافد كراست غير بصل,order ItemName ItemName ItemName ItemName ItemName change Exclude
28,اشوف حسابى كام دلوقتى,show invoice invoice late
29,غير رقم الجوال,change phone_number phone_number
30,الاوردر مجاش لحد دلوقتي,order late late late
31,تبديل لغة,edit Language
32,احذف العنوان,delete address
33,تضيفلي الهابي ميل,add ItemName ItemName
34,الله يسلم,Gbu Gbu
35,عايزة اشوف طلباتي السابقة,show show order previous
36,منيو الاطباق سبكترا,Menu Menu location
37,عايزة قائمة تغيير البيانات,show Menu change update_data
38,اتنين جلابينو ساندوتش كبير,item_number ItemName ItemName itemSize
39,عايزة اغير لغة الانجليزية,show change Language Language
40,الغي عنواني,cancel address
41,فرجيكن العنوان,show address
42,عايزة اعرف الاوردر فاضله اد ايه,show show order late late late
43,تغيرلي رقم الموبايل,change phone_number phone_number
44,عايزة امسح عنوان البيت,show delete address address
45,امسح العنوان,delete address
46,اضيف عنوان,add address
47,ايه الاوردر موصلش لحد دلوقتى,late order late late late
48,اطلبها صغيرة,Menu itemSize
49,غير اللغة,change Language
50,اعرف,show
51,,
52,مع,add
53,بلو,ItemName
54,غير,change
55,اشوف الاوردر,show order
56,الطلبات,order
57,تغير رقم موبايلي 01552687474,change phone_number phone_number phone_number
58,عايزة الاوردرات القديمة,show order previous
59,غير لغة,change Language
60,قديش وقت,show late
61,اشوف,show
62,تفرجيني القائمة,show Menu
63,هضيف,order
64,الاوردرات طلبتها قبل,order order previous
65,,
66,عايزة 3 بيتزا,show item_number ItemName
67,عايزة,show
68,,
69,,
70,وريني الاوردر,show order
71,شيل العنوان,edit address
72,هاخد 2 كوردن بلو,show item_number ItemName ItemName
73,الاوردر,order
74,الاوردر لحد,order late
75,كبيرة,itemSize
76,تغيرلي اللغة,change Language
77,تطلعنى الاوردر رقم 8896 ماوصل للحين,show order phone_number number late late
78,تفرجيني قائمة الطعام,show Menu Menu
79,تبعتلي قائمة السندوتشات,show Menu ItemName
80,بطا الاوردر,late order
81,القاء نظره الاشياء طلبتها,show show order order
82,اروح القائمة,show Menu
83,حدثلى رقم هاتفى للرقم 015248575,update_data phone_number phone_number phone_number phone_number
